size: 5000, threads: 1, time: 0.0227972, tot = 312234282112577, min = 0, max = 24999999 
size: 5000, threads: 2, time: 0.0182173, tot = 312207401645144, min = 1, max = 24999999 
size: 5000, threads: 4, time: 0.00660097, tot = 312181762922369, min = 0, max = 24999997 
size: 5000, threads: 8, time: 0.00392147, tot = 312199039098053, min = 0, max = 24999993 
size: 5000, threads: 16, time: 0.00443343, tot = 312119301926732, min = 0, max = 24999999 
size: 5000, threads: 32, time: 0.00523006, tot = 312214881926851, min = 1, max = 24999999 
size: 6000, threads: 1, time: 0.0326919, tot = 645476724801610, min = 1, max = 35999997 
size: 6000, threads: 2, time: 0.0192089, tot = 645482700752666, min = 1, max = 35999996 
size: 6000, threads: 4, time: 0.00915623, tot = 645508755921636, min = 0, max = 35999998 
size: 6000, threads: 8, time: 0.00543204, tot = 645551987941993, min = 0, max = 35999999 
size: 6000, threads: 16, time: 0.00477197, tot = 645494522810772, min = 1, max = 35999999 
size: 6000, threads: 32, time: 0.00723661, tot = 645576536690781, min = 1, max = 35999999 
size: 7000, threads: 1, time: 0.0445739, tot = 1196664108361107, min = 0, max = 48999999 
size: 7000, threads: 2, time: 0.0232937, tot = 1196419487156095, min = 1, max = 48999999 
size: 7000, threads: 4, time: 0.0124307, tot = 1196656835253060, min = 0, max = 48999999 
size: 7000, threads: 8, time: 0.00661797, tot = 1196628300447451, min = 1, max = 48999999 
size: 7000, threads: 16, time: 0.00785903, tot = 1196538789494281, min = 0, max = 48999999 
size: 7000, threads: 32, time: 0.00826156, tot = 1196460826186610, min = 0, max = 48999999 
size: 8000, threads: 1, time: 0.0599715, tot = 2033106349323101, min = 0, max = 63999997 
size: 8000, threads: 2, time: 0.0299557, tot = 2033100522167988, min = 0, max = 63999999 
size: 8000, threads: 4, time: 0.015214, tot = 2032858007446645, min = 0, max = 63999999 
size: 8000, threads: 8, time: 0.00861458, tot = 2032959942303810, min = 1, max = 63999999 
size: 8000, threads: 16, time: 0.00846796, tot = 2032945438675395, min = 2, max = 63999997 
size: 8000, threads: 32, time: 0.00970422, tot = 2032782242781151, min = 1, max = 63999999 
size: 9000, threads: 1, time: 0.0718511, tot = 3249492774517945, min = 0, max = 80999994 
size: 9000, threads: 2, time: 0.0367483, tot = 3249128834709150, min = 0, max = 80999997 
size: 9000, threads: 4, time: 0.0185386, tot = 3249588499226792, min = 0, max = 80999994 
size: 9000, threads: 8, time: 0.0180752, tot = 3249572906792533, min = 1, max = 80999998 
size: 9000, threads: 16, time: 0.0140876, tot = 3249881759940200, min = 2, max = 80999997 
